,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
693,QY4S6cMH,proton,impian,2008,270000,125000000,قرمز,سالم,سالم و پلمپ,دوررنگ,11
694,QY4SqTwf,pride,131,1396,66500,126000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
695,QYmG1xvv,mvm,x22,1400,0,172000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
696,QYs2d_RI,mvm,x22,1400,0,204000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
697,QYqG6e4-,mvm,x22,1400,0,290000000,قرمز,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
698,QYmGiiiL,mvm,x22,1400,0,204000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
699,QYo28bF1,mvm,x22,1400,0,290000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
700,QYoKN-wB,ssangyong,tivoli-ir,1400,0,1295000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
701,QYm2DcRW,mvm,x22,1400,0,204000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
702,QYnmU9US,mvm,x22,1400,0,290000000,قرمز,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
703,QY4SKeIp,dena,basic,1399,2297,329000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,2
704,QY4SKZZa,chery,tiggo-5,1395,160000,515000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
705,QY3-RmIf,peugeot,405,1385,300000,84000000,نقرهu200cای,سالم,سالم و پلمپ,دوررنگ,12
706,QY4S6JY0,mvm,x22,1397,30000,355000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
707,QY4Kqac5,hyundai,sonata-yf,2012,166812,935000000,سفید,سالم,سالم و پلمپ,صافکاری بیu200cرنگ,6
708,QY4Kqkoj,peugeot,405,1389,136000,130000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
709,QY4OaNbD,pride,131,1399,7000,155000000,سفید,,,سالم و بیu200cخط و خش,11
710,QY4OqY46,peugeot,206,1381,260000,82000000,سفید,سالم,سالم و پلمپ,دوررنگ,12
711,QY4C6nK1,dongfeng,h30-cross,1397,17500,370000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
712,QY4Ca1Ge,dena,basic,1398,44000,302000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
713,QY4Cawhw,baic,sabrina,2015,31,350000000,آلبالویی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
714,QY4G6qXh,mitsubishi,lancer,1993,252000,112000000,آلبالویی,سالم,سالم و پلمپ,رنگu200cشدگی، در چند ناحیه,7
715,QY4GanLF,hyundai,santafe-ix45,2017,40000,1950000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
716,QY4GaZTw,nissan,patrol-4-door,1375,450000,157000000,مشکی,سالم,سالم و پلمپ,دوررنگ,6
717,QY4Gqhfr,pride,111,1398,68000,148000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,7
718,QY4Caiog,peugeot,405,1380,132000,85000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
719,QY4CKQpA,toyota,landcruiser-4door,2008,200000,4800000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
720,QY4C6dgg,dongfeng,h30-cross,1396,58000,240000000,سفید,سالم,,رنگu200cشدگی در ۲ ناحیه,11
721,QY4-Jzky,pride,111,1399,3000,175000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
722,QY4KaoEJ,peugeot,405,1389,240000,130000000,نقرهu200cای,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
723,QY4-5at4,quick,manual,1400,0,196000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
724,QY4-pSa3,paykan,pickup,1393,98000,126000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,3
725,QY4-ZRTS,peugeot,207i,1400,5000,540000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
726,QY46po3H,pride,131,1396,75000,125000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,1
727,QY4aJIAJ,peugeot,pars,1392,150000,166000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,10
728,QYxi9t8q,mvm,x33,1400,1,250000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
729,QYr-v8Nl,peugeot,206,1395,96000,215000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,5
