,ID,brand,model,year,worked,price,color,engine_status,chassis_status,body_status,insurance_deadline
851,QY2uSOhb,quick,manual,1400,0,225000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
852,QY6WCUhM,peugeot,pars,1392,128000,185000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,10
853,QYtKi7tA,pride,sedan,1389,200000,68000000,نقرهu200cای,سالم,,دوررنگ,1
854,QY6OCXWM,peugeot,206,1396,62000,255000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,3
855,QY6SS-IF,pride,131,1396,91000,126000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
856,QY6KC_sS,samand,lx,1394,140000,205000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,2
857,QY6SStoE,dena,,1395,35000,265000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
858,QY6SCtoQ,quick,manual,1400,13000,189000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
859,QYZyxxOJ,dongfeng,h30-cross,1397,95000,260000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۱ ناحیه,3
860,QY4emIzW,hyundai,azera-grandeur,2008,250000,650000000,مشکی,سالم,,رنگu200cشدگی، در چند ناحیه,10
861,QY6OSCn1,peugeot,pars,1400,1000,395000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
862,QY6CC1ZI,hyundai,sonata-yf,2011,200000,850000000,مشکی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,12
863,QY6Ci093,peugeot,405,1399,33000,231000000,دلفینی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
864,QY6KC9mO,peugeot,206,1399,15000,305000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
865,QY6CCrLy,tiba,sedan,1400,15000,175000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
866,QY6CCl0V,besturn,b50f,1395,120000,440000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
867,QY6CCTjC,peugeot,206,1385,330000,95000000,نقرهu200cای,سالم,سالم و پلمپ,دوررنگ,2
868,QY069Ui4,kia,cerato,2016,95000,1020000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
869,QY6CCCxl,peugeot,206,1398,15000,245000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
870,QY66Bsgm,zamyad,z-24,1396,230000,220000000,آبی,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,9
871,QY66RtA7,nissan,maxima-ir,1388,140000,625000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
872,QY62x-WU,mazda,3-ir,1386,209000,340000000,نوکu200cمدادی,سالم,سالم و پلمپ,دوررنگ,3
873,QYw-K-wz,samand,lx,1391,175000,162000000,نوکu200cمدادی,سالم,سالم و پلمپ,خط و خش جزیی,8
874,QY62huIe,peugeot,206,1397,89000,250000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
875,QY66hIMw,peugeot,206,1389,71000,140000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,12
876,QY62RCN3,pride,111,1391,200000,85000000,سفید,سالم,سالم و پلمپ,دوررنگ,9
877,QY66h8xq,quick,manual,1400,0,195000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
878,QY6uh_lQ,peugeot,206,1383,300000,98000000,اطلسی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
879,QY66hsX7,peugeot,206,1380,128208,85000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,6
880,QY6yhIuU,paykan,bi-fuel(lpg),1375,350000,28000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,10
881,QY6yBFRY,samand,x7,1382,230000,70000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,6
882,QY66xDK5,mvm,315-hatchback,1396,96000,190000000,سفید,سالم,,رنگu200cشدگی، در ۲ ناحیه,8
883,QY6uBhOQ,mercedes-benz,e-class,1366,200000,170000000,سفید,سالم,سالم و پلمپ,دوررنگ,12
884,QY6uBxQI,saina,manual,1397,67000,162000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
885,QY6uRn1g,toyota,camry,2011,95000,1030000000,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,3
886,QY6qhZi1,quick,manual,1398,42000,186000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
887,QYvC5TU-,peugeot,pars,1399,9000,305000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
888,QY6yxcMo,nissan,pickup,1386,180000,175000000,آبی,,,,12
889,QY6yhRYD,zamyad,shooka,1388,200000,240000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
890,QY6mxpIp,pride,sedan,1388,128000,69000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
891,QYnKN46p,kia,opirus,2009,95000,1030000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
892,QYZex1O_,tiba,sedan,1399,1400,169000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
893,QYyufTpa,peugeot,405,1399,35000,285000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
894,QY6ixhq0,peugeot,207i,1399,10000,370000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
895,QY6qRbvN,quick,manual,1400,5600,192000000,سفید,سالم,,سالم و بیu200cخط و خش,9
896,QY6WhSA6,peugeot,405,1389,240000,120000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,3
897,QY6Whq4l,peugeot,207i,1397,12000,430000000,سفید,سالم,,رنگu200cشدگی در ۳ ناحیه,1
898,QY6qBIBO,peugeot,405,1390,140000,135000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۳ ناحیه,9
899,QY6eh0Nw,mercedes-benz,c-class,2014,80000,1980000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
900,QY6iRg65,hyundai,tucson-ix35,2015,91000,1295000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,1
901,QY6WB1FA,volkswagen,tiguan,2018,33000,2900000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
902,QY6aho4E,pazhan,4-door,1386,65000,480000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
903,QY6KhEWJ,chery,tiggo-5,1396,82000,560000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,12
904,QY6SxWIb,mazda,pickup,1400,1,287000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
905,QY6ShNxS,dena,plus,1400,0,498000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
906,QY6SxPNA,hyundai,santafe-ix45,2017,24000,1920000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
907,QY6WxBit,lexus,nx-300-h,2016,30000,2950000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
908,QY3i3Q17,peugeot,pars,1397,82000,257000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
909,QY6OxcYW,peugeot,206,1397,45000,217000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
910,QY6GBsOF,peugeot,206,1395,140000,220000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,10
911,QY6OxtuP,hyundai,tucson-ix35,2014,76000,1120000000,سفید,,سالم و پلمپ,سالم و بیu200cخط و خش,12
912,QY6igG6V,paykan,petrol,1383,300,26000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,7
913,QY6Kh7eF,peugeot,206,1395,147000,222000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
914,QY62gbsM,hyundai,santafe-ix45,2015,83677,1415000000,سفید صدفی,سالم,سالم و پلمپ,رنگu200cشدگی، در چند ناحیه,3
915,QY6GR6FM,peugeot,405,1384,210000,105000000,نوکu200cمدادی,سالم,سالم و پلمپ,خط و خش جزیی,8
916,QYzGXjAA,samand,lx,1393,82000,160000000,زرد,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
917,QY6GRr4T,peugeot,roa-sal,1389,240000,85000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,10
918,QY6-AiaR,peugeot,pars,1391,145000,225000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
919,QY6-Qcev,peugeot,pars,1396,85000,272000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
920,QY66AuNm,kia,cerato-ir,1398,10024,865000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,9
921,QY6GBJYo,lifan,x50,1394,50000,241000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,12
922,QY66QkRf,pride,pickup,1400,0,172500000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
923,QYTaeNep,citroen,xantia,1389,189000,258000000,نوکu200cمدادی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
924,QYvSo97o,changan,cs35-ir,1397,10000,550000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
925,QY66whI5,changan,eado,2015,80000,430000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
926,QY6CxGJV,pride,131,1390,350000,77000000,نوکu200cمدادی,سالم,سالم و پلمپ,خط و خش جزیی,5
927,QY62gOEk,pride,132,1392,165000,88500000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
928,QY6-QX7F,pride,111,1395,200000,130000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
929,QY66gwcx,mercedes-benz,e-class,2011,140000,620000000,سربی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
930,QY6-wSZP,dignity,,1400,0,1295000000,سفید,,سالم و پلمپ,سالم و بیu200cخط و خش,12
931,QY6yQ6ik,peugeot,405,1380,370000,83000000,یشمی,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,8
932,QY6-gAYQ,haima,s7,1397,39000,715000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
933,QY66Alcv,daewoo,cielo,1381,168000,69000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,8
934,QY6ygMxi,pride,131,1396,175000,120000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
935,QYjaKfLc,chery,arrizo-5te,1399,16000,575000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
936,QY6ugw2X,hyundai,tucson-ix35,2010,140000,715000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
937,QYjSnTr4,quick,manual,1400,4000,198000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
938,QYl2fCfW,dongfeng,h30-cross,1398,46000,350000000,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,12
939,QYrqhb4V,lexus,nx-200t,2017,55000,3540000000,تیتانیوم,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
940,QY6qgTwy,peugeot,206,1396,82000,248000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,3
941,QY6ywDJw,peugeot,pars,1400,2000,332000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
942,QY6uAYhp,paykan,pickup,1384,130000,77000000,سفید,سالم,,,12
943,QY6uAff1,peugeot,206,1382,310000,75000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۳ ناحیه,8
944,QY6iwsat,peugeot,206,1395,85000,205000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
945,QY6ugUAq,saina,manual,1397,33000,160000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,3
946,QY6uQNrR,haima,s7,1399,0,805000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
947,QY6mQSe4,peugeot,405,1384,440000,73000000,بژ,سالم,سالم و پلمپ,خط و خش جزیی,6
948,QY6eg9tg,quick,manual,1399,6000,183000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
949,QY4KY9gf,mazda,3n-sedan-ir,1390,115000,685000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,1
950,QY6ewEVG,mazda,3n-sedan-ir,1389,158000,650000000,تیتانیوم,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
951,QYn2xvHb,land-rover,ir,1366,200000,155000000,کرم,سالم,سالم و پلمپ,تمامu200cرنگ,9
952,QY6aAclc,peugeot,pars,1397,62000,259000000,سفید,سالم,,سالم و بیu200cخط و خش,10
953,QY4WUIIZ,peugeot,206,1393,140000,205000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
954,QYw-5Q_u,hyundai,veloster,2014,110000,695000000,قرمز,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,6
955,QYsmElta,peugeot,pars,1395,158000,205000000,آبی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
956,QY6egI6J,dena,plus,1400,0,510000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
957,QY6SQMZo,renault,tondar-90,1391,192000,223000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
958,QY6SQ3n8,hyundai,sonata-yf,2014,120000,1030000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
959,QYHJn9nX,bmw,5-series-sedan,2008,200000,720000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
960,QY4yNcgZ,renault,tondar-90,1394,145000,230000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
961,QY6Sg2nR,pride,sedan,1385,221000,57000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
962,QY6Kw1tm,pride,111,1391,190000,105000000,نوکu200cمدادی,سالم,سالم و پلمپ,خط و خش جزیی,7
963,QY6Ogzo6,peugeot,pars,1397,67000,241000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,5
964,QY6SADZz,renault,megan-ir,1391,122916,420000000,سفید,سالم,سالم و پلمپ,صافکاری بیu200cرنگ,4
965,QY6WQZjL,renault,pars-tondar,1395,64000,338000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
966,QY6GAYGI,kia,sportage,2014,110721,1163000000,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,10
967,QY0eZOCc,mg,gs,2016,98300,870000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,2
968,QY5KvCaf,hyundai,accent-ir,1397,67000,683000000,سفید,سالم,سالم و پلمپ,صافکاری بیu200cرنگ,7
969,QY6WAZZU,mvm,530,1393,170000,175000000,خاکستری,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,10
970,QY42tGYv,pride,131,1397,82000,121000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,7
971,QY2yTOAN,chery,tiggo-5,1397,35000,630000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
972,QY6GwkXw,peugeot,206,1388,188000,110000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
973,QY6Ggjrd,samand,lx,1395,75000,198000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
974,QY6OQRLm,pride,131,1398,45000,137000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
975,QYwCKQdg,dongfeng,h30-cross,1395,110000,308000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
976,QY6KgcBK,peugeot,405,1393,126,150000000,دلفینی,سالم,سالم و پلمپ,رنگu200cشدگی، در ۲ ناحیه,12
977,QY6CgQee,peugeot,405,1373,300000,47000000,خاکستری,سالم,سالم و پلمپ,دوررنگ,6
978,QY5-P2Kf,haval,h2-ir,1397,8000,690000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,3
979,QY6KgDUd,nissan,pickup,1392,270000,640000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,2
980,QY6CgH-7,peugeot,206,1399,16700,250000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
981,QY5-P9Nl,changan,cs35,2015,68000,498000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,5
982,QY6Cg9Jw,nissan,patrol-2-door,1999,110000,325000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
983,QY56f3B6,jac,j4,1398,11500,389000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
984,QY4qa_TE,runna,plus,1400,0,265000000,مشکی,,,,7
985,QY5-PvO3,pride,sedan,1384,300000,43700000,یشمی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
986,QYtWe4iY,tiba,hatchback,1400,50000,176000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,7
987,QY5yPRqd,bmw,5-series-sedan,2014,92000,2530000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
988,QY52vIPf,kia,cadenza,2012,120000,1300000000,قهوهu200cای,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
989,QY5y_uOB,pride,131,1394,140000,109000000,نقرهu200cای,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,6
990,QY56fmLo,peugeot,405,1389,201000,115000000,نقرهu200cای,تعویض شده,سالم و پلمپ,دوررنگ,6
991,QY3yEAvT,hyundai,sonata-yf,2011,210000,775000000,سربی,سالم,سالم و پلمپ,رنگu200cشدگی در ۵ ناحیه,6
992,QY5qPd5r,mg,6,2015,140000,650000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
993,QYbukriK,hyundai,santafe-ix45,2017,10000,2100000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
994,QY5qv9II,peugeot,pars,1385,142,137000000,نقرهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,10
995,QY5m_9MT,mercedes-benz,e-class,2014,62000,3200000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
996,QY5ivaCJ,quick,manual,1399,1550,199000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,9
997,QY5yvGHf,peugeot,207i,1400,0,360000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,4
998,QY1qLaEB,peugeot,405,1396,72000,178000000,خاکستری,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,4
999,QY5mPTVI,nissan,pickup,1382,111111,140000000,آبی,سالم,سالم و پلمپ,خط و خش جزیی,6
1000,QY5uP0q6,peugeot,pars,1383,220000,92000000,مشکی,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,10
1001,QYzC2iz9,hyundai,santafe-ix45,2016,65000,1680000000,مشکی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,6
1002,QYoWKUhj,hyundai,genesis-coupe,2011,175000,680000000,آبی,سالم,سالم و پلمپ,دوررنگ,6
1003,QY5m_lvi,citroen,c3,1398,39000,880000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی، در ۱ ناحیه,6
1004,QY5iP96l,peugeot,206-sd,1394,180000,190000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,8
1005,QYjKrdbj,renault,sandero,1395,35000,413000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,6
1006,QY5ifabY,pride,111,1390,280000,86700000,سفید,,,رنگu200cشدگی در ۱ ناحیه,12
1007,QYs-OMnY,kia,cadenza,2012,190000,1100000000,مشکی,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,9
1008,QY5ivb7r,kia,rio-ir,1389,120000,118000000,بژ,سالم,,دوررنگ,12
1009,QY5qfYqe,delica,van,1376,500000,66000000,نقرهu200cای,سالم,سالم و پلمپ,دوررنگ,3
1010,QY5mfmxD,citroen,c3,1397,18000,920000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
1011,QY4m8A-P,peugeot,pars,1387,148000,137000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۱ ناحیه,10
1012,QY5ivBb0,samand,lx,1393,240000,145000000,سفید,سالم,سالم و پلمپ,رنگu200cشدگی در ۲ ناحیه,3
1013,QY2GxBl0,peugeot,206,1389,159000,139500000,گیلاسی,سالم,سالم و پلمپ,خط و خش جزیی,5
1014,QY5a_-cV,pride,111,1392,130000,119000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
1015,QY5if9Ks,pride,131,1393,131000,95000000,خاکستری,سالم,,خط و خش جزیی,12
1016,QYjCEKZJ,mvm,x22,1400,0,290000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
1017,QY5iP2IG,nissan,teana-im,2012,42000,1350000000,مشکی,سالم,,رنگu200cشدگی در ۱ ناحیه,1
1018,QY5ivLlx,hyundai,elantra,2015,62000,930000000,قهوهu200cای,سالم,سالم و پلمپ,خط و خش جزیی,7
1019,QY5WPbES,samand,lx,1397,66000,207000000,سفید,سالم,,,8
1020,QY5evd4F,peugeot,pars,1399,0,274000000,سفید صدفی,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,11
1021,QY5WvAEy,peugeot,405,1396,93000,195000000,خاکستری,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,12
1022,QY5a_-IG,mvm,110,1393,120000,90000000,آبی,سالم,سالم و پلمپ,رنگu200cشدگی، در چند ناحیه,3
1023,QYcC6M1n,mvm,x22,1400,0,204000000,خاکستری,,,سالم و بیu200cخط و خش,12
1024,QY6aCjJT,pride,131,1398,62000,138000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
1025,QY6eCrV3,pride,131,1398,62000,138000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
1026,QY6SCvzJ,pride,131,1399,13000,151000000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,10
1027,QY6ix_Ml,pride,131,1397,53528,133500000,سفید,سالم,سالم و پلمپ,سالم و بیu200cخط و خش,8
1028,QY6SB_g8,pride,131,1395,70000,115000000,سفید,سالم,سالم و پلمپ,خط و خش جزیی,4
